Fet.,Red. Dim.,Error,Accur.,Prec.
PCA,3072,0.71,0.29,1.0
Kernel PCA,10,0.61,0.39,1.0
LDA,10,0.62,0.38,1.0
Kernel LDA,7,0.62,0.38,1.0
VGG,7,0.62,0.38,1.0
ResNet,4096,0.26,0.74,1.0
