Fet.,Red. Dim.,Error,Accur.,Prec.
PCA,3072,0.49,0.51,1.0
Kernel PCA,10,0.51,0.49,1.0
LDA,10,0.51,0.49,1.0
Kernel LDA,7,0.22,0.78,1.0
VGG,7,0.22,0.78,1.0
ResNet,4096,0.14,0.86,1.0
